c1,c2,c3,i1,i2,i3,i4,o
0.9020792264613967,2.9825125007650295e-10,4.649845034337504e-10,0.09792077220520197,1.0638201271353525e-13,1.584459921875927e-13,1.8560614716991137e-13,5.697151060142469e-10
0.9020792295135588,2.9774007117405777e-10,4.63501536253582e-10,0.09792076915792318,1.0636229496174649e-13,1.5839145096457966e-13,1.855030157064454e-13,5.668262100079222e-10
0.9020792326690896,2.9721211787649474e-10,4.620077029980497e-10,0.09792076600726707,1.0634132277715735e-13,1.5833473678891298e-13,1.8539774865245873e-13,5.639733928484068e-10
0.9020792359281777,2.9666782809553495e-10,4.6050401595138505e-10,0.09792076275304475,1.0631907453421631e-13,1.5827586250318984e-13,1.852903872538986e-13,5.611558052425252e-10
0.9020792392909874,2.9610764559525807e-10,4.589914173054157e-10,0.09792075939509157,1.062955303558722e-13,1.5821484186716306e-13,1.8518097062692494e-13,5.583722107726173e-10
0.9020792427576602,2.9553201817647637e-10,4.5747078679330074e-10,0.09792075593326596,1.0627067206609637e-13,1.5815168943675432e-13,1.8506953601892592e-13,5.556215351236105e-10
0.9020792463283152,2.949413959773416e-10,4.5594294335080784e-10,0.09792075236744836,1.0624448313954276e-13,1.580864204496307e-13,1.8495611880418642e-13,5.529026440383221e-10
0.9020792500030509,2.9433623029232893e-10,4.5440866290286335e-10,0.09792074869754017,1.0621694865013702e-13,1.5801905075376142e-13,1.8484075322589155e-13,5.5021499282611e-10
0.9020792537819456,2.937169718991104e-10,4.528686569458994e-10,0.09792074492346274,1.0618805521687397e-13,1.579495966880771e-13,1.8472347135269172e-13,5.475570951510563e-10
0.9020792576650589,2.930840701144092e-10,4.513235987230892e-10,0.09792074104515644,1.0615779094933389e-13,1.5787807502530664e-13,1.8460430420513852e-13,5.44928385202909e-10
0.902079261652432,2.9243797147600395e-10,4.497741068775011e-10,0.09792073706257973,1.0612614539157473e-13,1.578045028778892e-13,1.8448328095359155e-13,5.423275700738496e-10
0.9020792657440891,2.917791193261612e-10,4.482207790372721e-10,0.09792073297570825,1.0609310946745934e-13,1.5772889768197257e-13,1.8436043039903073e-13,5.397545950422712e-10
0.902079269940038,2.9110795242139873e-10,4.466641525541001e-10,0.09792072878453402,1.0605867542397037e-13,1.5765127709084593e-13,1.8423577913691603e-13,5.372077977217995e-10
0.9020792742402708,2.904249047988003e-10,4.451047520445358e-10,0.09792072448906461,1.060228367768035e-13,1.5757165897869042e-13,1.841093536757726e-13,5.34687302420319e-10
0.902079278644765,2.8973040471030117e-10,4.43543052237435e-10,0.0979207200893224,1.0598558825490819e-13,1.5749006135789531e-13,1.839811787095398e-13,5.321917277858499e-10
0.9020792831534841,2.890248741663207e-10,4.4197950039338425e-10,0.09792071558534382,1.0594692574603025e-13,1.574065023486891e-13,1.8385127809198086e-13,5.297204964132334e-10
0.9020792877663779,2.8830872861269775e-10,4.4041452084714064e-10,0.09792071097717868,1.0590684624361139e-13,1.5732100015851747e-13,1.8371967501399935e-13,5.272731645984342e-10
0.9020792924833839,2.875823765222111e-10,4.3884851109867124e-10,0.09792070626488945,1.0586534779464697e-13,1.5723357305163465e-13,1.835863917975037e-13,5.248490937036486e-10
0.9020792973044274,2.868462188431138e-10,4.3728183548414294e-10,0.09792070144855071,1.0582242944792455e-13,1.5714423930380558e-13,1.8345144957388167e-13,5.224473461392336e-10
0.9020793022294221,2.861006490738469e-10,4.357148490964851e-10,0.09792069652824845,1.0577809120471203e-13,1.5705301721150838e-13,1.8331486934845685e-13,5.200678827348437e-10
0.9020793072582712,2.8534605259619386e-10,4.3414786851907065e-10,0.09792069150407952,1.0573233396922895e-13,1.569599250327234e-13,1.831766706440652e-13,5.177094833833495e-10
0.9020793123908672,2.8458280678598055e-10,4.3258120155766856e-10,0.09792068637615112,1.0568515950151342e-13,1.5686498099603222e-13,1.8303687282748326e-13,5.153720487964863e-10
0.9020793176270931,2.8381128072169067e-10,4.3101513148565556e-10,0.0979206811445802,1.0563657037118317e-13,1.5676820327213401e-13,1.8289549437640613e-13,5.130548403310053e-10
