c1,c2,c3,i1,i2,i3,i4,o
0.9020792674519685,3.0293570562561385e-10,4.814478150104421e-10,0.09792073115546263,1.0650859787759257e-13,1.5889316164563814e-13,1.866145430574204e-13,6.077334494472836e-10
0.9020792769841369,3.0265425205808564e-10,4.802067115397317e-10,0.0979207216282583,1.0649910211235213e-13,1.5886134012953265e-13,1.8653659125380414e-13,6.042921239355539e-10
0.902079286962873,3.0235222392031944e-10,4.789350588016303e-10,0.09792071165448128,1.0648865305256086e-13,1.5882717994213118e-13,1.8645562198446968e-13,6.009066518847097e-10
0.9020792973824073,3.0202975206835144e-10,4.776352166715926e-10,0.09792070123990072,1.0647720951092474e-13,1.5879067153390943e-13,1.8637172187009743e-13,5.975753219241869e-10
0.9020793082372389,3.0168701727930787e-10,4.763093758312945e-10,0.09792069039001733,1.0646473198399673e-13,1.5875180920938348e-13,1.8628497228354287e-13,5.942958728557426e-10
0.9020793195221116,3.013242443843377e-10,4.749595754161783e-10,0.09792067911008685,1.0645118272605475e-13,1.587105907026035e-13,1.8619544996738791e-13,5.910663693291285e-10
0.9020793312319931,3.009416967808342e-10,4.735877085312372e-10,0.09792066740514126,1.0643652580304513e-13,1.5866701678252319e-13,1.8610322711446977e-13,5.878847570930362e-10
0.902079343362056,3.005396719812241e-10,4.721955544293818e-10,0.09792065528000783,1.064207271308834e-13,1.5862109094679432e-13,1.8600837267364553e-13,5.847499449308222e-10
0.9020793559076598,3.0011849672991224e-10,4.707847541788641e-10,0.0979206427393265,1.0640375449725023e-13,1.5857281907246328e-13,1.8591095110555257e-13,5.816596129525424e-10
0.9020793688643362,2.996785231170843e-10,4.693568422486186e-10,0.09792062978756542,1.063855775708754e-13,1.585222091510747e-13,1.8581102366856458e-13,5.786124049254405e-10
0.9020793822277743,2.9922012483869607e-10,4.679132459989282e-10,0.09792061642903502,1.0636616789925662e-13,1.5846927103214162e-13,1.8570864827215152e-13,5.756067109242499e-10
0.9020793959938086,2.987436940757154e-10,4.66455304156373e-10,0.0979206026679007,1.0634549889731354e-13,1.5841401621721182e-13,1.8560388019722375e-13,5.72641428829658e-10
0.9020794101584068,2.982496381815607e-10,4.649842541515577e-10,0.09792058850819435,1.0632354582663056e-13,1.5835645763211096e-13,1.8549677141484963e-13,5.697147588100609e-10
0.90207942471766,2.977383772336513e-10,4.635012609908386e-10,0.09792057395382457,1.0630028576851779e-13,1.5829660947164645e-13,1.8538737178784506e-13,5.668258420232786e-10
0.9020794396677734,2.97210341335623e-10,4.620074034044854e-10,0.09792055900858604,1.0627569759022737e-13,1.582344870175288e-13,1.8527572835433343e-13,5.639731116682454e-10
0.9020794550050575,2.966659684574026e-10,4.6050369078628145e-10,0.09792054367616788,1.0624976190634346e-13,1.5817010649978177e-13,1.85161886001633e-13,5.611554993212267e-10
0.9020794707259209,2.9610570234997085e-10,4.5899106265037256e-10,0.09792052796016124,1.0622246103571922e-13,1.5810348496048647e-13,1.8504588736174003e-13,5.583717713359503e-10
0.9020794868268633,2.9552999080602833e-10,4.5747039895724624e-10,0.09792051186406606,1.0619377895523325e-13,1.580346401441646e-13,1.8492777320234021e-13,5.556209642796953e-10
0.9020795033044697,2.949392840967497e-10,4.559425242711045e-10,0.09792049539129728,1.0616370125101484e-13,1.5796359039984165e-13,1.8480758254845272e-13,5.529021602539669e-10
